HackerRank ID,Score
h1032230055,150.00
riteshg123098,150.00
h1032230938,150.00
jainvinit246,150.00
rajpurohitdivya3,150.00
gulamshaikh2455,150.00
ayushsahu0827,150.00
triptishetty21,150.00
S1032230085,150.00
rsmita8928,150.00
kanchan_saini101,150.00
mudrasawant3009,150.00
swaminiyesade1,150.00
devanshisingh228,150.00
yadavkshitij_101,150.00
rhitikavishwaka1,150.00
avcode10,100.00
h1032230006,100.00
prince_co10673,100.00
h1032231029,100.00
saniya_desai,100.00
harshbpandey08,100.00
gayathrichauhan1,100.00
vipulmishra1102,100.00
h1032231035,100.00
byallasuresh9,100.00
Anuj18x2027,100.00
omyadav2149,100.00
h1032231051,100.00
yadavnandini338,100.00
jiyakaul5,100.00
ankitvishwa920,100.00
abhisinghj234,100.00
yassshhhh_22,100.00
thakurshivam2307,100.00
shikhaguptaworks,100.00
upadhyay27palak,100.00
bhaisaransh931,100.00
daps120605,100.00
anandviraj30,100.00
10e_ayushmishra1,100.00
personalaarush64,100.00
rajeevyadav_ry21,100.00
shivamsingh10201,100.00
h1032230040,100.00
us101741,100.00
yadavaaaaditya21,100.00
shivangisp07,100.00
nbhardwaj2605,100.00
ny58champ,100.00
sharmavancika,100.00
devanshtiwari262,100.00
sakshii_s2804,100.00
ggBruh,100.00
sharmarishu20061,100.00
harshtiwari26852,100.00
dubeyaayush333,100.00
h1032230294,100.00
prathamvarma178,100.00
jaiswaladitya601,100.00
h1032230922,100.00
cs5764532,100.00
suraj_c8705,100.00
patelovais830,100.00
saarna2005,100.00
singhsneha98752,100.00
pp296522,100.00
siddhic311,100.00
anandpandey17051,60.00
kartikradye10,60.00
tazimesaf,50.00
jaypatil7112005,50.00
niyatishetty09,50.00
ayushtiwari12348,50.00
sharmarudra775,50.00
pandeyshivam5797,50.00
photon278,50.00
saurabhsingh9731,50.00
utripathiwork,50.00
gkaran09,20.00
riteshygyanpur71,20.00
h1032231050,16.67
shivanipathak252,0.00
pranjalp104,0.00
itsrishitarathi1,0.00
shezaaziz77,0.00
aryangupta9922,0.00
sonakshi55091,0.00
nilesh_singh1511,0.00
rajgariahkairav,0.00
harsh920050,0.00
varmasakshi777,0.00
khushboogupta221,0.00
shubvaj,0.00
pragneshdubey20,0.00
